text,label
estoy hasta el ojete de que me digáis que tengo cara de mala leche,2
@user Por?  Tenía pensado verla después de la segunda de Daredevil,1
Esto de estar feliz mola,0
Ya no es tan divertido,2
"@user te recuerdo que soy una persona que tiene criterio, equivocado, pero lo tengo",1
@user @user @user con una pequeña donación hará felices a miles de chicas que no tienen  #asociacionmariloli,0
He probado una nueva espuma para el pelo y sí que lo deja más rizado pero se queda como efecto gomina y no me gusta.,2
@user Ojalá pudiera darte el abrazo en vivo o al menos acompañarte hoy. Siento mucho lo de tu primo,1
@user aquí tienes a mi bae aka una egipcia preciosa que esta aprendiendo español. Os llevareis bien  @user,0
"@user ya somos dos, que triste",2
JUAS ahora dicen que la paja se la van a hacer con Tracer y su novia. Porque siempre se puede caer más bajo aún ¿no?,1
#2AñosDeLegiónHolk Llevo como unos 8 meses Talvez menos o mas no sé Me enseñaron y demostraron que LH es algo magico,0
"🌼 severus snape 🌼  -pobresito  -nunca le odié, me parecía muy estricto e injusto pero sabía que algo pasaba...",2
"@user es chevre las letras!! sabes q dia es mañana,....",1
Se echa de menos  #digital #art #life @ Escuela Superior de Arte y Tecnología (ESAT) http,0
"Esta ceniza me tiene harta, me arden los ojos",2
¿Aprender Motion Graphics en #Barcelona sin que me cueste un riñón es posible? ¿Alguien conoce algún sitio?,1
@user No. tampoco soy cursi,0
En fin estoy hasta los huevos del 90% de las personas así que.,2
"@user jajajajaja, ¡qué linda! Yo también me puse re feliz cuando me enteré, nos dejan un álbum antes que TOP se vaya al servicio",1
@user     Ya está preparando cosillas nuevas jeje,0
"@user Jo, yo que me había ilusionado",2
Si la U cerró todo... entonces yo estoy libre hasta el lunes,1
Hoy toca escuchar a #MiguelRios con otros grandes artistas...  #Insurrección...,0
"@user @user qué tendrá brozas.. jaajajaja que me descontrola, será la mala influencia",2
@user Katy le dió like en instagram y en mis Rt hace dos días los vieron juntos,1
"Voy a jugar mi primera ranked de 10. Hmm no se si la liaré o no, pero bronce V me espera y mañana jugaré poco o nada, so a jugársela",0
Cuando le he dicho a la bollo que estoy morena se ha reído en mi cara,2
@user @user @user @user lo importante es saber cuando! Por si hay que evitar compras foráneas,1
Sin duda @user fue una experiencia preciosa  @user @user Y habrá más!,0
"Como sé que les re interesa, les actualizo: me dijo que sí a ver una peli pero me habló de un pibe dándome a entender que están saliendo",2
como entraba una conversación de estas largas de hablar toda la noche con alguien,1
una Go-Pro de calidad! proteccion bajo el agua y soporte de cabeza    porq ago tantas caras...OK EN FIN!,0
Se que la pena de muerte no es algo bueno . Pero que diablos podemos hacer con los violadores ! Yo no le veo otra salida,2
"@user se llama Wolf, es la mascota #SeSalen en apoyo a los deportistas paralímpicos  Más inf http 😃",1
Que dicha que hay trabajo y salud y vacaciones también,0
@user Impresionante. Una pena que hoy no pueda hacer una foto del atardecer.. P.d Gracias guapiño,2
"Este viernes iré al cine a ver #NoRespires para celebrar mi cumple. Por cierto, no estáis invitados",1
La pulsera es preciosa tio,0
@user es lamentable un tema tan sensible jamás con ese enfoque,2
"-Me caes muy bien  -Tienes que jugar más partidas al lol con Russel y conmigo -Por qué tan Otako, deja de ser otako -Haber si me muero",1
"@user, vaya, felicidades atrasadas y muchas gracias",0
"@user  Otra cosa es que no tuviera seguridad social, porqe no era obligatorio en su situacion. Lee, los libros no muerden",2
"Trato de manejar esa sensación de: ""no me soporto a mi misma"" de estos ultimos 2 días ¡qué dolor! Es que no soy yo misma. #malditoandres",1
@user Que bonita la gente educada un gran abrazo para vos 🤗,0
"@user En Espanya la prensa ni es libre, ni es independiente, ni muchísimo menos plural  Síntoma de nuestra pobre democracia.",2
@user fuera del típico saludo navideño tengo una duda: pasan Navidad juntos o cada uno con su familia? Saludos desde Lima,1
@user Feliz Navidad Felino!!! Jaja! Saludos y abrazos a la familia!,0
Se me rompió el pantalón horizontalmrnnte por el muslo hasta debajo de la nalga... Ya estoy a la moda,2
"Estimada @user, reciba un cordial saludo, nosotros somos el 1er Centro de Ozonoterapia en el Perú, contamos con muchos tratamientos",1
FF a los geniales de @user !!,0
"90% para designar a quienes somos muy aficionados a todos este mundo nippon y aunque la elicación suene que tiene un ""final feliz"" mmm",2
sería muy chuzo tener una gopro pero yo de mi casa no salgo así que no tendría mucho sentido.,1
2. Si. Eres mi crush máximo aunque te considere de mis mejores amigos,0
"Nunca dejes el fb abierto y tu hermana a lado, es un PELIGRO!",2
"Tanto ritmo en el restaurant #DonMarcelo Si vienes a #Cusco, no olvides visitarlo @ Plaza de…",1
@user Google luego se encarga de asociar el contenido (bien escrito) con la búsqueda que se hizo (mal escrita).,0
Ayay quiero grrabar un trocito de Drown con el ukelele porque tiene que quedar preciosa. Pero tengo la voz fatal,2
@user debería liarla en el @user con un stand que proyectara desde el público a las pantallas del concierto  #MTVDcode2016.,1
"@user que ricoooo, me abriste el apetito!! Solo una cosa. Las aceitunas tienen que ser las negras",0
"Pero como no tengo una puta mierda en común pues nadie me mete para ningún grupo ni nada, claro",2
Me gusta mucho ir a Chepén y estar con la familia de Kike. Lo que no me gusta es tener que trabajar el lunes siguiente,1
"Bueno,gracias a algunos(casi gratis) por confiar su salud en mi(un año más) no se enfermen mucho este año pues, jaja mentira, saludos",0
Que le pasa a @user que no puede estar en Twitter y WhatsApp a la vez? Las 2 fiestas están igual de buenas y se esta perdiendo una!,2
"Haces un update con tu pata de intercambio. Te pregunta, entre otras cosas, por tu vida amorosa. Suena ""brillas"" de León Larregui.",1
Hace tres días que entre a @user y hoy me he pegado el segundo clip  1080 desde lo alto del ala del caza http,0
Cuando pasan de tu p*** cara  😢,2
@user la divaza te tiene cansado toda la noche no te deja dormir,1
Tengo una perrina adorable... Sabéis que me acompaña hasta la a habitación cuando me voy a dormir?,0
"No me puedo quedar dormida ni un ratito, porque para mi mamá ya estoy anémica de nuevo",2
"@user No se , creo que no . Yo solo mire mi fecha",1
"Con lo cual he abierto todas las ventanas y he conectado el móvil a los altavoces, a ver si ahora suena mejor",0
"@user Tio entonces piensas que mosca es un insulto, yo creo que eso es un poco irrespetuoso a las pobres",2
"@user hoy tengo libre JAJA , viernes no puedo",1
@user @user ahora se me despierta la curiosidad de saber cuáles eran esos antiguos nombres...,0
"@user Si, lástima que el bicho grandote sirva para sembrar destrucción y muerte",2
"ayer me dio mi dio mi ataque de panico retrocedi a cuando tenia 5 años, me despertaba sola en cama y comenzaba a gritar pq no habia nadie",1
Sólo la Karlita me entiende y me da buenos consejos,0
"Ya no tengo libro para leer ni serie para ver, mis noches se están volviendo aburridas",2
Con entusiasmo y optimismo en este primer día del año. Todo depende de lo que Dios me tiene preparado. #VamosConFe,1
Tengamos un día lleno de magia y lindos momentos,0
"Después de unos cuatro días de ermitaña, salir al sol no me hizo muy bien fiebre largate",2
@user todo lo que sea posible,1
"Días como hoy agradezco no tener carro. Andar con el hígado hinchado por saber esos marchamos, mejor ando en Uber jaja",0
Difícilmente el quiera algo serio con ust si todo empezó por yaleo y nudes respétese y verá que la buscan para algo serio y bonito️,2
cuando estás conversando de la más tranquila y te hacen recordar que mataron al perro de majin boo,1
@user gracias Manuel por este arte de recoger mi texto en tu revista  Un abrazo grande!,0
"Quiero comer algo, aunque estoy llena",2
No sabía que el amor de mi vida iba a cantar. Hubiese visto el programa.,1
"@user y cómo mezclan realidad con mundos paralelos, y que es diferente a las demás películas de Marvel",0
glowen sigue a cuentas inactivas y es en plan oh seguro que esas cuentas te dan mucho más apoyo que a las que le diste unf JAJAJA,2
"Elige amar, así duela, así parezca un imposible, así te tiemble el alma, así tengas miedo, así vayas a salir herida. El amor transforma",1
@user @user @user @user @user Gran capacidad de análisis de @user en esa entrevista. #visión,0
Me gustaría arreglar tantas cosas pero no puedo arreglar ninguna y es muy frustrante,2
Ha ardido una caravana aparcada al lado de la playa   Fuego ya sofocado por los bomberos @… http,1
"#SinPelosEnLaLengua Además,la novia de luz esta buena  Que opináis de @user maricon??",0
Atm veo los 7 primeros teams un poco lejos de los 3 últimos. A ver que pasa si mejoran y/o cambian sus estrategias etc idk,2
El huequito del septum no se me ha cerrado por completo pero ya no me cabe la pieza,1
"@user Que guapísimo , dejaron mendizorroza, pero San mames ... de los + guapos del MUNDO¡¡ sin duda.(opinión)",0
"Por payasa debo hacer un trabajo grupal para mañana, algunos grupos aún no terminan y yo tengo que hacerlo en máximo 2 horas",2
"Después de siete largos años vuelvo a pasar navidad junto con mi mamá, mi papá y mi hermana. Todos juntos con una yapita de sobrino.",1
@user 1000/10 de verdad a ti que voy a decir petarda que te quiero más que a mí mismo  ✨,0
ola wapa k tal stas?? spero k no seas una sorra kmo las otras xikas   - machirulo   QUÉ COJONES JAJSAKJKJSADJJSJASJAJAJA,2
"@user @user dicen que tira pa, san Mateo ahora Jaaja",1
@user @user ¿Será solo digital entonces? ¡Perfecto! De verdad muchísimas gracias Un abrazo desde Costa Rica. ¡Pura vida!,0
@user joder como te entiendo  nosotros literalmente nos tenemos que saltar las clases e ir a un centro comercial si queremos kkar,2
Decidido: lanzo canal de YouTube. Con qué canción o con qué tema me aconsejan que empiece?,1
Ese aplauso para Diego Luna y Felicity Jones fue estruendoso. Tengo ganas de ver Rogue One y no puedo,0
"Lo de quedarse sola en casa sonaba a planazo de domingo, hasta que me doy cuenta de que no hay dulces en casa",2
Nicole choteando idiotas desde tiempos inmemorables!,1
"@user Por cierto, encantado de conocerte virtualmente  Tenemos a @user en común. Saludetes.",0
@user necesito mi ración de atención diaria que si no no mantengo la autoestima,2
@user @user Fue la última vez que fuimos al cine,1
@user Pero es que está muy rica,0
@user @user La pena es que no incluya a modo de extra el original. Con el de consola te lo regalaban con el preorder,2
"Si pudiese cantar bonito no dejaría de hacerlo con ""Come what may"" de Moulin Rouge",1
@user ya mismo seguro! Un abrazo fuerte,0
Las horas que son y sigo sin ser capaz de ponerme a estudiar....el sueño puede conmigo,2
"@user lo se  pero no miraba la acc, solo miraba de vez en cuando el combo y me emocionada y nervios y shit",1
@user Que bonita zona de entreno escogieron,0
Creo que voy a ponerme talking to the moon de Bruno Mars porque estoy plof y esa cancion es tan triste que,2
@user Yo también vi la peli y lloré lo que no está escrito  Ahora estoy leyendo el libro y me estoy echando unas risas impresionantes!,1
Envidio de buena manera a los que tienen la oportunidad de ir mañana al estadio,0
"#MePasóPorPavazo @user Amigo que guapo eres, mi amiga y yo queremos hacer un trio, y yo todo ganador, Me pepearon @user",2
@user Mañana si me duermo en la oficina le cuento para que se sienta culpable *busca el cofal y las pantuflas* Bonita noche,1
"y sin querer me han elevado la barra, para seguir preparandome...waoooo este extraordinario mundo del cafe loveyou️️",0
"Todos queríamos ver las 2 ticas juntas en la final pero así es esto , ahora le toca a lei q avanza a la final #VISSLAISAworldjuniors",2
Yo sé que estot todo el día diciéndolo peeeero vamos a merendar a algún sitio cuki,1
@user no las des preciosa,0
Bueeeeno... no me siento bien. Gracias playlist por cagarme peor,2
"yo esque los veranos curro, asi que no puedo quedar mucho  pero si algun dia te pasas avisa y vamos a full hd  @user",1
"No todo es orines y ceniza: hoy vi una niña con patines y casco divirtiéndose en la Plaza de la Cultura, y fue muy lindo",0
@user  Ahora es Abel quien está resfriado  es lo ke tiene estar juntos todo el tiempo jajaja el curro bien?,2
"@user @user sí, celulares distintos en realidad",1
